Tissue,Transcription Factor,FUGUE Score,,,,,,,
Adipose_Tissue,NR1H3,0.96232444,,,,,,,
Adipose_Tissue,STAT5A,0.960866988,,Supplementary Table S4. Top 20 TRG transcription factors in each tissue ranked by FUGUE scores. ,,,,,
Adipose_Tissue,PPARG,0.945495188,,,,,,,
Adipose_Tissue,EBF1,0.941477001,,,,,,,
Adipose_Tissue,EBF3,0.920992434,,,,,,,
Adipose_Tissue,ZNF423,0.909259796,,,,,,,
Adipose_Tissue,SMAD3,0.905838192,,,,,,,
Adipose_Tissue,MECOM,0.90173322,,,,,,,
Adipose_Tissue,NFKB1,0.89840138,,,,,,,
Adipose_Tissue,HLX,0.892046034,,,,,,,
Adipose_Tissue,ETS1,0.883666277,,,,,,,
Adipose_Tissue,SMAD1,0.882401705,,,,,,,
Adipose_Tissue,ARNT,0.878830194,,,,,,,
Adipose_Tissue,MYC,0.878447533,,,,,,,
Adipose_Tissue,NR3C1,0.876140416,,,,,,,
Adipose_Tissue,NR5A2,0.866700172,,,,,,,
Adipose_Tissue,ZNF521,0.86513567,,,,,,,
Adipose_Tissue,JUN,0.859808862,,,,,,,
Adipose_Tissue,RELA,0.852560937,,,,,,,
Adipose_Tissue,KLF11,0.851737559,,,,,,,
Adipose_Tissue,SMAD4,0.85097003,,,,,,,
Adrenal_Gland,FOXK2,0.984010518,,,,,,,
Adrenal_Gland,MLXIPL,0.975553751,,,,,,,
Adrenal_Gland,PEG3,0.975348413,,,,,,,
Adrenal_Gland,NR5A1,0.9739483,,,,,,,
Adrenal_Gland,NR0B1,0.971615553,,,,,,,
Adrenal_Gland,GATA6,0.971203625,,,,,,,
Adrenal_Gland,ZNF219,0.967272401,,,,,,,
Adrenal_Gland,SMAD3,0.965019107,,,,,,,
Adrenal_Gland,ZBTB21,0.963537216,,,,,,,
Adrenal_Gland,LEF1,0.960154295,,,,,,,
Adrenal_Gland,FOXO4,0.958122194,,,,,,,
Adrenal_Gland,TBX3,0.957814574,,,,,,,
Adrenal_Gland,STAT2,0.955850303,,,,,,,
Adrenal_Gland,LCOR,0.955564439,,,,,,,
Adrenal_Gland,FOXK1,0.954841375,,,,,,,
Adrenal_Gland,CEBPZ,0.954505444,,,,,,,
Adrenal_Gland,ZNF431,0.954395533,,,,,,,
Adrenal_Gland,NFE2L2,0.953715324,,,,,,,
Adrenal_Gland,FOSL2,0.952686131,,,,,,,
Adrenal_Gland,NR2F1,0.951542377,,,,,,,
Adrenal_Gland,JAZF1,0.949362636,,,,,,,
Bladder,MSX2,0.931920648,,,,,,,
Bladder,MAFG,0.922205091,,,,,,,
Bladder,SMAD3,0.915391743,,,,,,,
Bladder,PITX2,0.887442708,,,,,,,
Bladder,NFE2L2,0.884782314,,,,,,,
Bladder,GATA2,0.877228141,,,,,,,
Bladder,SP1,0.876662552,,,,,,,
Bladder,NPAS2,0.87604779,,,,,,,
Bladder,HOXA1,0.875138998,,,,,,,
Bladder,RELA,0.868220389,,,,,,,
Bladder,ZNF350,0.860125661,,,,,,,
Bladder,TEAD1,0.849179327,,,,,,,
Bladder,HOXA10,0.842045844,,,,,,,
Bladder,NR2F1,0.837563276,,,,,,,
Bladder,GTF3A,0.831864476,,,,,,,
Bladder,STAT6,0.814996243,,,,,,,
Bladder,FOXF1,0.814638197,,,,,,,
Bladder,LCOR,0.812042594,,,,,,,
Bladder,CDC5L,0.802589238,,,,,,,
Bladder,TP53,0.800988019,,,,,,,
Bladder,ZNF266,0.786536157,,,,,,,
Blood,GTF2I,0.989660859,,,,,,,
Blood,ATF4,0.982401431,,,,,,,
Blood,SMAD4,0.979790986,,,,,,,
Blood,CDC5L,0.975797594,,,,,,,
